Episode	Run	N_clips	Valence_Spearman_r	Valence_Spearman_p	Valence_Mean_Diff	Valence_Abs_Diff_Mean	Valence_Agreement_1pt	Valence_Agreement_2pt	Valence_Rater1_Range	Valence_Rater2_Range	Valence_N_valid	Arousal_Spearman_r	Arousal_Spearman_p	Arousal_Mean_Diff	Arousal_Abs_Diff_Mean	Arousal_Agreement_1pt	Arousal_Agreement_2pt	Arousal_Rater1_Range	Arousal_Rater2_Range	Arousal_N_valid
3	1	272	-0.026934915462343507	0.6583036286823483	-0.08455882352941213	1.3933823529411764	68.75	80.51470588235294	1.0-7.0	3.0-5.0	272	0.4188604316612209	5.575663828285438e-13	-2.6433823529411766	3.0404411764705883	16.544117647058822	24.63235294117647	1.0-9.0	4.0-7.0	272
3	2	309	0.020391039941546223	0.7210722037837509	0.14239482200647302	0.27184466019417475	95.79288025889967	100.0	3.0-7.0	4.0-5.0	309	0.32897584747988445	3.119846847036608e-09	-2.9741100323624594	2.9741100323624594	0.0	2.5889967637540456	1.0-2.0	4.0-5.0	309
3	3	317	0.48036453883601654	1.2013825772868553e-19	0.06329113924050667	0.3291139240506329	96.51898734177216	97.46835443037975	1.0-7.0	3.0-6.0	316			-3.242902208201893	3.2429022082018926	0.0	0.0	1.0-1.0	4.0-6.0	317
3	4	359	0.28084926011740496	6.229432535721327e-08	-0.019498607242340427	0.30362116991643456	98.60724233983287	100.0	3.0-7.0	4.0-5.0	359	-0.09289618910119679	0.07878224580573302	-3.4735376044568245	3.479108635097493	1.9498607242339834	3.3426183844011144	1.0-5.0	4.0-6.0	359
3	5	268	0.08546255499150518	0.16298678992793655	0.8097014925373136	0.914179104477612	61.940298507462686	100.0	3.0-5.0	3.0-6.0	268	0.5403996981279251	1.0100850332500456e-21	-3.1791044776119404	3.1791044776119404	0.3731343283582089	0.3731343283582089	1.0-5.0	4.0-6.0	268
3	6	415	0.26331612466414034	5.199447863472536e-08	0.16385542168674672	0.3132530120481928	98.0722891566265	100.0	3.0-5.0	3.0-6.0	415	0.2625766337063916	5.682923540155272e-08	-3.4313253012048195	3.513253012048193	0.9638554216867471	2.6506024096385543	1.0-8.0	4.0-7.0	415
4	1	307	0.6898660192991897	1.0662849109580946e-44	-0.8306188925081437	0.8306188925081434	95.76547231270358	95.76547231270358	3.0-4.0	3.0-7.0	307	0.41648433736732177	2.6070022167894455e-14	-0.7166123778501632	0.8534201954397395	86.64495114006515	99.6742671009772	3.0-6.0	3.0-6.0	307
4	2	296			-1.0912162162162158	1.0912162162162162	67.9054054054054	100.0	3.0-3.0	3.0-5.0	296	0.7102201302474175	9.9368243726387e-47	-1.0540540540540544	1.054054054054054	86.14864864864865	99.32432432432432	2.0-4.0	3.0-6.0	296
4	3	293	-0.474060823787471	8.015381684286695e-18	-2.283276450511945	2.2832764505119454	23.208191126279864	50.51194539249146	2.0-3.0	4.0-6.0	293	0.5294626793231858	1.4285808931295042e-22	-1.027303754266212	1.266211604095563	70.64846416382252	87.03071672354949	2.0-7.0	3.0-7.0	293
4	4	334	-0.09699877357249227	0.0766858546508265	-1.7664670658682633	1.7664670658682635	37.4251497005988	73.65269461077844	2.0-3.0	3.0-6.0	334	0.6734882074700328	1.736740626642928e-45	-2.0778443113772456	2.0778443113772456	14.67065868263473	73.95209580838323	2.0-5.0	4.0-8.0	334
4	5	230	-0.12274065040225102	0.06312006320843282	-1.6739130434782608	1.934782608695652	31.73913043478261	74.78260869565217	2.0-5.0	3.0-5.0	230	0.5845850934823136	1.7758868893472248e-22	-2.3130434782608695	2.3130434782608695	15.65217391304348	51.30434782608696	2.0-6.0	4.0-7.0	230
