Visual	Somatomotor	Dorsal Attention	Ventral Attention	Limbic	Frontoparietal	Default Mode	cluster
-1.5224365	-1.1363304	-1.4029129	-1.3149152	-1.6305132	-1.3212726	-1.625658	0
-1.0055865	-0.71492445	-0.8935883	-1.0138248	-1.5839255	-0.8248117	-1.36397	2
-0.23234022	-0.16175474	-0.18391323	-0.47801802	-0.9935468	-0.23074853	-0.7626726	2
0.43576387	0.22739784	0.41478485	-0.023518058	-0.22374724	0.16718903	-0.13724911	1
0.7675321	0.3043349	0.7070773	0.13529103	0.34845537	0.23016484	0.23023863	1
0.7625365	0.12168999	0.6834343	-0.012306262	0.51222426	0.023833591	0.2376957	1
0.608301	-0.12820446	0.4812649	-0.29205102	0.28876352	-0.2473456	-0.0021854888	1
0.5361189	-0.23747699	0.2813397	-0.46066856	-0.12232949	-0.37044695	-0.24652882	1
0.6694546	-0.09832095	0.20658457	-0.3509516	-0.4715012	-0.24330534	-0.26956043	1
0.95571405	0.24556129	0.27241063	0.031604595	-0.5936183	0.07849441	0.011425958	1
1.2172611	0.6323569	0.4022589	0.51344144	-0.48121598	0.42738092	0.4985172	1
1.280836	0.8794358	0.48892626	0.85778916	-0.25953546	0.63150823	0.98015594	1
1.093824	0.887592	0.46177033	0.90658766	-0.08256143	0.6144835	1.2581357	1
0.74940646	0.68753153	0.3204386	0.66805184	-0.024343854	0.42164794	1.2551064	1
0.41388345	0.40129742	0.1210924	0.29520154	-0.045192413	0.16418678	1.0397481	1
0.22126774	0.15386167	-0.0642035	-0.019569777	-0.049717143	-0.06198721	0.7652773	1
0.21182214	0.004695964	-0.18052123	-0.15274836	0.02530222	-0.21442294	0.5726113	1
0.33893275	-0.057629235	-0.20075789	-0.09328496	0.17270538	-0.28502	0.5212775	1
0.51052076	-0.07477353	-0.12679808	0.08480301	0.34585425	-0.26740783	0.5788245	1
0.62232554	-0.08117325	0.0041849334	0.2794224	0.5080214	-0.15580648	0.6573764	1
0.5749733	-0.098587014	0.115639925	0.40439364	0.6435567	0.026858997	0.664708	1
0.29424566	-0.15101628	0.10918252	0.4056498	0.7298851	0.2099051	0.540823	1
-0.23629366	-0.2723609	-0.09328724	0.25879022	0.71704245	0.2929137	0.26771662	1
-0.9493282	-0.4940605	-0.50512105	-0.035979018	0.54837257	0.19328155	-0.14097354	2
-1.7017531	-0.8205101	-1.0552398	-0.45072442	0.20492126	-0.10591095	-0.6514233	2
-2.3219252	-1.2070829	-1.6028115	-0.9183531	-0.269541	-0.532514	-1.206935	0
-2.6719182	-1.5523267	-1.9766701	-1.3241438	-0.7805921	-0.935952	-1.7152619	0
-2.6895378	-1.7126645	-2.024228	-1.5175682	-1.2114834	-1.1304412	-2.0481553	0
-2.389829	-1.5452641	-1.6591073	-1.3565185	-1.4429661	-0.96263	-2.0727847	0
-1.8346499	-0.97493523	-0.8997481	-0.7780725	-1.3695016	-0.3859818	-1.7110535	0
-1.1003225	-0.060947206	0.11277779	0.13502271	-0.93576974	0.48875394	-0.99720794	2
-0.26934457	0.9792541	1.1354866	1.139731	-0.19450955	1.4033283	-0.095856085	1
0.5565869	1.828612	1.8953725	1.9058753	0.6587496	2.041502	0.7428618	3
1.2528579	2.2094598	2.1993146	2.1646726	1.3337318	2.1739242	1.2830876	3
1.704344	2.037978	2.0321538	1.8583776	1.5866877	1.7847582	1.4150902	3
1.8629267	1.4916885	1.577323	1.1905556	1.3783724	1.0939623	1.2156646	3
1.782823	0.9224519	1.1273657	0.52336836	0.92515385	0.44150847	0.90824586	3
1.5928675	0.64936537	0.9227549	0.170278	0.57475936	0.093368225	0.72972256	1
1.4157922	0.76311654	1.0153946	0.21584031	0.5718029	0.09388627	0.78030026	1
1.2940261	1.0800433	1.2475688	0.4854527	0.88240415	0.26561928	0.960884	3
1.179601	1.2812288	1.3638349	0.683728	1.219748	0.3546142	1.0513461	3
0.99076146	1.1353087	1.1819627	0.5992973	1.2595694	0.21406274	0.8787686	3
0.68162453	0.64412105	0.7068045	0.23229067	0.8804062	-0.10448769	0.4502342	1
0.26779225	0.016227406	0.11238488	-0.23213857	0.24334912	-0.40835539	-0.051146876	1
-0.19911376	-0.49276456	-0.38566002	-0.5652196	-0.34010714	-0.5144612	-0.39999825	2
-0.6657719	-0.7431711	-0.6671824	-0.64025366	-0.632759	-0.3787258	-0.48384425	2
-1.0814142	-0.766329	-0.75696397	-0.49026787	-0.6090751	-0.11927079	-0.36278373	2
-1.3812025	-0.6990732	-0.7677319	-0.26257446	-0.4186667	0.06677558	-0.20333377	2
-1.4913152	-0.6721458	-0.8012509	-0.121807046	-0.24174818	0.024844566	-0.1559916	2
-1.3744149	-0.7374411	-0.88925195	-0.16552083	-0.17484176	-0.27326718	-0.27311817	2
-1.0787696	-0.86429125	-1.0028172	-0.38680696	-0.22384821	-0.7199699	-0.5081643	2
-0.73326874	-0.9787169	-1.095862	-0.6861038	-0.36373731	-1.1283547	-0.76569504	2
-0.4737891	-1.0073491	-1.1343366	-0.92052686	-0.57245696	-1.3219936	-0.95062464	2
-0.35318333	-0.9094842	-1.0973352	-0.9737488	-0.80412	-1.2193216	-0.99539053	2
-0.30976042	-0.6971245	-0.971276	-0.8186067	-0.95685947	-0.8750867	-0.87521386	2
-0.22300145	-0.43720394	-0.7571134	-0.53620297	-0.9067211	-0.45386034	-0.61941004	2
-0.012726711	-0.22438139	-0.4848223	-0.27163377	-0.60240364	-0.14360894	-0.3075384	2
0.29508582	-0.1308117	-0.21545124	-0.1496268	-0.1357589	-0.05843851	-0.039505985	1
0.5805309	-0.16713852	-0.02270951	-0.20794469	0.2879675	-0.19196968	0.10689772	1
0.7030438	-0.28717443	0.036341324	-0.39243296	0.46712315	-0.44422	0.10206792	1
0.58305466	-0.42769983	-0.05114622	-0.6026672	0.3197977	-0.6857119	-0.037092876	1
0.2494714	-0.5379957	-0.23463297	-0.73786294	-0.07967911	-0.8026167	-0.25742084	2
-0.15999284	-0.5687077	-0.39767316	-0.7108237	-0.5510802	-0.7057412	-0.46666616	2
-0.4412355	-0.44469196	-0.38723633	-0.448067	-0.8940599	-0.3355644	-0.528751	2
-0.4004819	-0.07763414	-0.08183483	0.08578191	-0.9573688	0.3044937	-0.29516277	2
0.053164914	0.56144726	0.5257337	0.8366428	-0.6765966	1.1033037	0.31101054	1
0.8385835	1.3617477	1.2852323	1.62955	-0.091501415	1.8410879	1.2017946	3
1.7051344	2.069245	1.9321922	2.2087767	0.65275764	2.2663763	2.1036263	3
2.327731	2.3963993	2.2110806	2.3494194	1.3348266	2.2186482	2.6584294	3
2.458442	2.1862915	2.0100567	1.9782163	1.7293236	1.7166716	2.6070004	3
