participant_id	condition_idx	onset	duration	start_tr	end_tr	n_trs	valence	arousal	valence_category	arousal_category	emotion_quadrant	CAP_1_frequency_pct	CAP_1_avg_dwell_time	CAP_1_max_dwell_time	CAP_1_min_dwell_time	CAP_1_std_dwell_time	CAP_1_total_dwell_time	CAP_1_n_visits	CAP_1_avg_dwell_time_sec	CAP_1_max_dwell_time_sec	CAP_1_total_dwell_time_sec	CAP_1_transitions_out	CAP_2_frequency_pct	CAP_2_avg_dwell_time	CAP_2_max_dwell_time	CAP_2_min_dwell_time	CAP_2_std_dwell_time	CAP_2_total_dwell_time	CAP_2_n_visits	CAP_2_avg_dwell_time_sec	CAP_2_max_dwell_time_sec	CAP_2_total_dwell_time_sec	CAP_2_transitions_out	CAP_3_frequency_pct	CAP_3_avg_dwell_time	CAP_3_max_dwell_time	CAP_3_min_dwell_time	CAP_3_std_dwell_time	CAP_3_total_dwell_time	CAP_3_n_visits	CAP_3_avg_dwell_time_sec	CAP_3_max_dwell_time_sec	CAP_3_total_dwell_time_sec	CAP_3_transitions_out	CAP_4_frequency_pct	CAP_4_avg_dwell_time	CAP_4_max_dwell_time	CAP_4_min_dwell_time	CAP_4_std_dwell_time	CAP_4_total_dwell_time	CAP_4_n_visits	CAP_4_avg_dwell_time_sec	CAP_4_max_dwell_time_sec	CAP_4_total_dwell_time_sec	CAP_4_transitions_out	total_transitions	transition_rate	valence_t	arousal_t
sub-Buttercup	28	3.0	1.5	2	3	1	6.732690264300382	3.8254035794607506	high	low	val_high_ar_low	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	62.43059554689264	49.7562176818425
sub-Buttercup	29	4.5	1.5	3	4	1	3.8855091811965776	3.0003037743421763	low	low	val_low_ar_low	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	45.15270401320047	44.608573702131544
sub-Buttercup	30	6.0	1.5	4	5	1	4.719667675115201	6.076799925329471	high	high	val_high_ar_high	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	50.214728366116745	63.80226008042101
sub-Buttercup	31	7.5	1.5	5	6	1	6.991795374659933	4.85922550704046	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	64.0029542630925	56.20604010160913
sub-Buttercup	32	9.0	1.5	6	7	1	2.906319158132468	1.77333923127454	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	39.210567382069165	36.95377048407327
sub-Buttercup	33	10.5	1.5	7	8	1	5.473300201521173	4.486636027581599	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	54.788087301653775	53.88152374741558
sub-Buttercup	34	12.0	1.5	8	9	1	5.169389056990156	6.175647331828826	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	52.94382673731941	64.41895063569672
sub-Buttercup	35	13.5	1.5	9	10	1	6.816453754673049	5.631648485167812	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	62.93890761377554	61.02504317066969
sub-Buttercup	36	15.0	1.5	10	11	1	2.253127226539897	1.922580454972351	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	35.24672419284837	37.88485867719474
sub-Buttercup	37	16.5	1.5	11	12	1	2.8702489752439266	4.124847222393404	low	high	val_low_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	38.99167835135488	51.62439078798385
sub-Buttercup	38	18.0	1.5	12	13	1	6.914459182883635	4.625390131717643	high	high	val_high_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	63.533645745601575	54.74718475519324
sub-Buttercup	39	19.5	1.5	13	14	1	3.3442380669240244	1.4496347041694533	low	low	val_low_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	41.868043385810054	34.934238241039694
sub-Buttercup	40	21.0	1.5	14	15	1	3.2816043171605553	4.302858997449013	low	high	val_low_ar_high	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	41.48795546615378	52.73497309147982
sub-Buttercup	41	22.5	1.5	15	16	1	4.848137558587262	2.165070456357494	high	low	val_high_ar_low	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	100.0	1.0	1	1	0	1	1	1.5	1.5	1.5	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	50.99433761722788	39.39770862337906
