run,index,valence_1,valence_2,arousal_1,arousal_2
S01E01R01,S01E01R01_clip0113,5,3,3,5
S01E01R01,S01E01R01_clip0114,5,3,3,5
S01E01R01,S01E01R01_clip0115,5,5,3,3
S01E01R01,S01E01R01_clip0116,5,4,3,4
S01E01R01,S01E01R01_clip0117,5,4,3,4
S01E01R01,S01E01R01_clip0118,5,4,3,4
S01E01R01,S01E01R01_clip0119,5,4,3,4
S01E01R01,S01E01R01_clip0120,5,4,3,4
S01E01R01,S01E01R01_clip0121,5,4,3,4
S01E01R01,S01E01R01_clip0122,5,4,3,4
S01E01R01,S01E01R01_clip0123,5,4,3,4
S01E01R01,S01E01R01_clip0124,5,4,3,4
S01E01R01,S01E01R01_clip0125,5,4,3,4
S01E01R01,S01E01R01_clip0126,5,4,3,4
S01E01R01,S01E01R01_clip0127,5,4,3,4
S01E01R01,S01E01R01_clip0128,5,5,3,3
S01E01R01,S01E01R01_clip0129,5,5,3,3
S01E01R01,S01E01R01_clip0130,5,5,3,3
S01E01R01,S01E01R01_clip0131,5,5,3,3
S01E01R01,S01E01R01_clip0132,5,5,3,3
S01E01R01,S01E01R01_clip0133,5,5,3,3
S01E01R01,S01E01R01_clip0134,5,5,3,3
S01E01R01,S01E01R01_clip0135,5,5,3,3
S01E01R01,S01E01R01_clip0136,5,5,3,3
S01E01R01,S01E01R01_clip0137,5,5,3,3
S01E01R01,S01E01R01_clip0138,5,5,3,3
S01E01R01,S01E01R01_clip0139,5,3,3,5
S01E01R01,S01E01R01_clip0140,5,5,3,3
S01E01R01,S01E01R01_clip0141,5,5,3,3
S01E01R01,S01E01R01_clip0142,5,5,3,2
S01E01R01,S01E01R01_clip0143,5,5,3,2
S01E01R01,S01E01R01_clip0144,5,5,3,2
S01E01R01,S01E01R01_clip0145,5,5,3,1
S01E01R01,S01E01R01_clip0146,5,5,3,1
S01E01R01,S01E01R01_clip0147,5,5,3,1
S01E01R01,S01E01R01_clip0148,5,5,3,1
S01E01R01,S01E01R01_clip0149,5,5,3,1
S01E01R01,S01E01R01_clip0150,5,5,3,1
S01E01R01,S01E01R01_clip0151,5,5,3,1
S01E01R01,S01E01R01_clip0152,5,5,3,1
S01E01R01,S01E01R01_clip0153,5,4,3,2
S01E01R01,S01E01R01_clip0154,5,5,3,1
S01E01R01,S01E01R01_clip0155,5,5,3,1
S01E01R01,S01E01R01_clip0156,5,5,3,1
S01E01R01,S01E01R01_clip0157,5,5,3,1
S01E01R01,S01E01R01_clip0158,5,5,3,1
S01E01R01,S01E01R01_clip0159,5,5,3,1
S01E01R01,S01E01R01_clip0160,5,5,3,1
S01E01R01,S01E01R01_clip0161,5,5,3,1
S01E01R01,S01E01R01_clip0162,5,5,3,1
S01E01R01,S01E01R01_clip0163,5,5,3,1
S01E01R01,S01E01R01_clip0164,5,3,3,4
S01E01R01,S01E01R01_clip0165,5,4,3,3
S01E01R01,S01E01R01_clip0166,5,5,3,2
S01E01R01,S01E01R01_clip0167,5,5,3,2
S01E01R01,S01E01R01_clip0168,5,5,3,2
S01E01R01,S01E01R01_clip0169,5,5,3,2
S01E01R01,S01E01R01_clip0170,5,5,3,2
