cap	metric	emotion_dimension	r	p_value	n	significant	effect_size	is_dwell_metric	metric_mean	metric_std	emotion_mean	emotion_std
CAP_2	total_dwell_time	arousal_t	-0.45115709403594895	0.002711111756737627	42	True	medium	True	0.42857142857142855	0.5008703226778093	50.0	10.121216546949476
CAP_2	avg_dwell_time_sec	valence	-0.4428189866541552	0.003317276089875462	42	True	medium	True	0.6428571428571429	0.7513054840167139	4.684283117872137	1.667850283368099
CAP_2	avg_dwell_time_sec	arousal	-0.4511570940359489	0.0027111117567376417	42	True	medium	True	0.6428571428571429	0.7513054840167139	3.8644786872179897	1.622298246220171
CAP_2	avg_dwell_time_sec	valence_t	-0.4428189866541551	0.003317276089875462	42	True	medium	True	0.6428571428571429	0.7513054840167139	50.0	10.121216546949478
CAP_2	avg_dwell_time_sec	arousal_t	-0.45115709403594895	0.002711111756737627	42	True	medium	True	0.6428571428571429	0.7513054840167139	50.0	10.121216546949476
CAP_2	transitions_out	valence			42	False	large	False	0.0	0.0	4.684283117872137	1.667850283368099
CAP_2	transitions_out	arousal			42	False	large	False	0.0	0.0	3.8644786872179897	1.622298246220171
CAP_2	transitions_out	valence_t			42	False	large	False	0.0	0.0	50.0	10.121216546949478
CAP_2	transitions_out	arousal_t			42	False	large	False	0.0	0.0	50.0	10.121216546949476
CAP_1	frequency_pct	valence	0.1842319882135136	0.24282370262360461	42	False	small	False	21.428571428571427	41.529973223663276	4.684283117872137	1.667850283368099
CAP_1	frequency_pct	arousal	0.16320646012258425	0.3017332805269126	42	False	small	False	21.428571428571427	41.529973223663276	3.8644786872179897	1.622298246220171
CAP_1	frequency_pct	valence_t	0.1842319882135136	0.24282370262360461	42	False	small	False	21.428571428571427	41.529973223663276	50.0	10.121216546949478
CAP_1	frequency_pct	arousal_t	0.16320646012258416	0.3017332805269126	42	False	small	False	21.428571428571427	41.529973223663276	50.0	10.121216546949476
CAP_1	avg_dwell_time	valence	0.1842319882135136	0.24282370262360461	42	False	small	True	0.21428571428571427	0.4152997322366327	4.684283117872137	1.667850283368099
CAP_1	avg_dwell_time	arousal	0.16320646012258425	0.3017332805269126	42	False	small	True	0.21428571428571427	0.4152997322366327	3.8644786872179897	1.622298246220171
CAP_1	avg_dwell_time	valence_t	0.1842319882135136	0.24282370262360461	42	False	small	True	0.21428571428571427	0.4152997322366327	50.0	10.121216546949478
CAP_1	avg_dwell_time	arousal_t	0.16320646012258416	0.3017332805269126	42	False	small	True	0.21428571428571427	0.4152997322366327	50.0	10.121216546949476
